pair,is_envido,truco_max,truco_min,truco_mean,truco_median,envido_max,envido_min,envido_mean,envido_median,combined_mean,count
7f 5,true,0.078486,0.042986,0.051178,0.042986,32,29,31.08,32,0.496452,26
7f 5,false,0.078486,0.042986,0.054819,0.042986,7,7,7.00,7,0.133470,18
7f 6,true,0.155791,0.073960,0.102129,0.114200,33,30,31.96,32,0.535254,46
7f 6,false,0.155791,0.073960,0.106422,0.114200,7,7,7.00,7,0.159272,30
7f 7f,true,0.188546,0.099314,0.143930,0.143930,33,31,32.00,32,0.556813,6
7f 7f,false,0.188546,0.099314,0.143930,0.143930,7,7,7.00,7,0.178026,6
7o 10,true,0.612613,0.385199,0.476128,0.450708,33,24,28.14,27,0.664354,37
7o 10,false,0.612613,0.385199,0.488329,0.516216,7,7,7.00,7,0.350225,25
7o 11,true,0.728700,0.480566,0.586160,0.591677,33,20,27.45,27,0.708941,47
7o 11,false,0.728700,0.480566,0.594065,0.591677,7,7,7.00,7,0.403093,31
7o 12,true,0.824882,0.575933,0.685776,0.667139,33,20,27.00,27,0.751979,57
7o 12,false,0.824882,0.575933,0.690920,0.700408,7,7,7.00,7,0.451521,37
7o 1f,true,0.883955,0.646525,0.754695,0.751094,33,21,27.85,28,0.799317,40
7o 1f,false,0.856285,0.646525,0.751381,0.751094,7,7,7.00,7,0.481751,13
7o 2,true,0.931832,0.718983,0.817312,0.826341,33,22,28.01,29,0.833106,73
7o 2,false,0.931832,0.718983,0.816549,0.826341,7,7,7.00,7,0.514335,45
7o 3,true,0.978250,0.814350,0.890937,0.886873,33,23,28.63,30,0.879203,83
7o 3,false,0.978250,0.814350,0.890716,0.886873,7,7,7.00,7,0.551419,51
7o 4,true,0.049550,0.049550,0.049550,0.049550,31,31,31.00,31,0.494472,3
7o 4,false,0.049550,0.049550,0.049550,0.049550,7,7,7.00,7,0.130836,3
7o 5,true,0.235307,0.146783,0.167212,0.146783,32,29,31.08,32,0.554468,13
7o 5,false,0.235307,0.146783,0.176291,0.146783,7,7,7.00,7,0.194206,9
7o 6,true,0.401158,0.242149,0.297862,0.322587,33,30,31.96,32,0.633121,23
7o 6,false,0.401158,0.242149,0.306126,0.322587,7,7,7.00,7,0.259124,15
7o 7f,true,0.458687,0.312741,0.385714,0.385714,33,31,32.00,32,0.677705,12
7o 7f,false,0.512484,0.312741,0.395466,0.385714,7,7,7.00,7,0.303793,13
