hand,truco_score
1e 5o 11b,5.6216216
1e 5o 11o,5.6216216
1e 5o 11c,5.6216216
1e 5o 12e,12.216216
1e 5o 12b,12.216216
1e 5o 12o,12.216216
1e 5o 12c,12.216216
1e 5c 6e,-10.864865
1e 5c 6b,-10.864865
1e 5c 6o,-10.864865
1e 5c 6c,-10.864865
1e 5c 7e,34.351353
1e 5c 7b,-6
1e 5c 7o,32.7027
1e 5c 7c,-6
1e 5c 10e,-0.972973
1e 5c 10b,-0.972973
1e 5c 10o,-0.972973
1e 5c 10c,-0.972973
1e 5c 11e,5.6216216
1e 5c 11b,5.6216216
1e 5c 11o,5.6216216
1e 5c 11c,5.6216216
1e 5c 12e,12.216216
1e 5c 12b,12.216216
1e 5c 12o,12.216216
1e 5c 12c,12.216216
1e 6e 6b,-4.864865
1e 6e 6o,-4.864865
1e 6e 6c,-4.864865
1e 6e 7e,34.567566
1e 6e 7b,-0.4864865
1e 6e 7o,33.135136
1e 6e 7c,-0.4864865
1e 6e 10e,3.891892
1e 6e 10b,3.891892
1e 6e 10o,3.891892
1e 6e 10c,3.891892
1e 6e 11e,9.621622
1e 6e 11b,9.621622
1e 6e 11o,9.621622
1e 6e 11c,9.621622
1e 6e 12e,15.351352
1e 6e 12b,15.351352
1e 6e 12o,15.351352
1e 6e 12c,15.351352
1e 6b 6o,-4.864865
1e 6b 6c,-4.864865
1e 6b 7e,34.567566
1e 6b 7b,-0.4864865
1e 6b 7o,33.135136
1e 6b 7c,-0.4864865
1e 6b 10e,3.891892
1e 6b 10b,3.891892
1e 6b 10o,3.891892
1e 6b 10c,3.891892
1e 6b 11e,9.621622
1e 6b 11b,9.621622
1e 6b 11o,9.621622
1e 6b 11c,9.621622
1e 6b 12e,15.351352
1e 6b 12b,15.351352
1e 6b 12o,15.351352
1e 6b 12c,15.351352
1e 6o 6c,-4.864865
1e 6o 7e,34.567566
1e 6o 7b,-0.4864865
1e 6o 7o,33.135136
1e 6o 7c,-0.4864865
1e 6o 10e,3.891892
1e 6o 10b,3.891892
1e 6o 10o,3.891892
1e 6o 10c,3.891892
1e 6o 11e,9.621622
1e 6o 11b,9.621622
1e 6o 11o,9.621622
1e 6o 11c,9.621622
1e 6o 12e,15.351352
1e 6o 12b,15.351352
1e 6o 12o,15.351352
1e 6o 12c,15.351352
1e 6c 7e,34.567566
1e 6c 7b,-0.4864865
